encoder,layer,method,param,cv_mean,point,ci_lo,ci_hi,d_vs_xllex,d_lo,d_hi,d_verdict
xlm-roberta-large,0,f_OT,N/A,0.0861,0.1182,-0.1811,0.4067,-0.6606,-0.9832,-0.293,显著更差
xlm-roberta-large,0,f_APD,N/A,-0.0448,-0.0435,-0.3552,0.2831,-0.7772,-1.1291,-0.3622,显著更差
xlm-roberta-large,0,f_PRT,N/A,-0.0791,-0.1256,-0.4391,0.1986,-0.8274,-1.1643,-0.4268,显著更差
xlm-roberta-large,1,f_SUS,200,0.1359,0.164,-0.1668,0.4715,-0.6219,-0.9381,-0.294,显著更差
xlm-roberta-large,1,f_OT,N/A,0.1391,0.1364,-0.1944,0.4471,-0.6423,-0.9764,-0.2885,显著更差
xlm-roberta-large,1,f_APD,N/A,0.0649,0.0723,-0.2569,0.4148,-0.6614,-0.9919,-0.3031,显著更差
xlm-roberta-large,1,f_PRT,N/A,0.1239,0.0894,-0.2251,0.3815,-0.6124,-0.9417,-0.2628,显著更差
xlm-roberta-large,2,f_SUS,100,0.4766,0.5077,0.2152,0.7308,-0.2782,-0.5811,0.0178,区分不开
xlm-roberta-large,2,f_OT,N/A,0.4529,0.4712,0.1811,0.7009,-0.3076,-0.6159,-0.0053,显著更差
xlm-roberta-large,2,f_APD,N/A,0.2815,0.3044,-0.0118,0.5915,-0.4293,-0.7263,-0.1163,显著更差
xlm-roberta-large,2,f_PRT,N/A,0.3655,0.36,0.06,0.6105,-0.3418,-0.613,-0.0702,显著更差
xlm-roberta-large,3,f_SUS,100,0.5451,0.5715,0.2871,0.7672,-0.2144,-0.4777,0.046,区分不开
xlm-roberta-large,3,f_OT,N/A,0.5306,0.5537,0.2694,0.752,-0.2251,-0.485,0.0335,区分不开
xlm-roberta-large,3,f_APD,N/A,0.2952,0.3314,0.0199,0.5899,-0.4023,-0.6811,-0.1234,显著更差
xlm-roberta-large,3,f_PRT,N/A,0.4739,0.4651,0.1771,0.6873,-0.2367,-0.4982,0.011,区分不开
xlm-roberta-large,4,f_SUS,100,0.6061,0.6498,0.3959,0.822,-0.1361,-0.3686,0.0808,区分不开
xlm-roberta-large,4,f_OT,N/A,0.618,0.6573,0.4205,0.8162,-0.1214,-0.3458,0.0988,区分不开
xlm-roberta-large,4,f_APD,N/A,0.4493,0.4945,0.2288,0.6989,-0.2392,-0.4865,-0.0041,显著更差
xlm-roberta-large,4,f_PRT,N/A,0.5376,0.5332,0.2735,0.7457,-0.1686,-0.3713,0.0277,区分不开
xlm-roberta-large,5,f_SUS,50,0.6273,0.6692,0.4147,0.835,-0.1167,-0.3456,0.0832,区分不开
xlm-roberta-large,5,f_OT,N/A,0.6234,0.663,0.4113,0.8289,-0.1157,-0.3416,0.0928,区分不开
xlm-roberta-large,5,f_APD,N/A,0.523,0.5562,0.3012,0.7406,-0.1775,-0.4181,0.0338,区分不开
xlm-roberta-large,5,f_PRT,N/A,0.5516,0.5496,0.2879,0.76,-0.1522,-0.353,0.0443,区分不开
xlm-roberta-large,6,f_SUS,200,0.6294,0.6578,0.3928,0.8466,-0.1281,-0.3826,0.1029,区分不开
xlm-roberta-large,6,f_OT,N/A,0.635,0.6629,0.4001,0.8473,-0.1158,-0.3628,0.1093,区分不开
xlm-roberta-large,6,f_APD,N/A,0.5735,0.6041,0.3287,0.7952,-0.1295,-0.3812,0.0982,区分不开
xlm-roberta-large,6,f_PRT,N/A,0.5917,0.5902,0.3281,0.7853,-0.1116,-0.299,0.079,区分不开
xlm-roberta-large,7,f_SUS,200,0.6565,0.6789,0.4197,0.8624,-0.107,-0.3408,0.1052,区分不开
xlm-roberta-large,7,f_OT,N/A,0.6674,0.6813,0.4306,0.8599,-0.0975,-0.3316,0.1118,区分不开
xlm-roberta-large,7,f_APD,N/A,0.6026,0.629,0.3516,0.821,-0.1047,-0.3591,0.1249,区分不开
xlm-roberta-large,7,f_PRT,N/A,0.6335,0.6331,0.3843,0.8135,-0.0687,-0.2227,0.108,区分不开
xlm-roberta-large,8,f_SUS,10,0.638,0.6741,0.4148,0.8591,-0.1118,-0.3438,0.0935,区分不开
xlm-roberta-large,8,f_OT,N/A,0.6636,0.6762,0.4208,0.8585,-0.1025,-0.3365,0.1096,区分不开
xlm-roberta-large,8,f_APD,N/A,0.6179,0.6452,0.3822,0.8356,-0.0885,-0.3285,0.1261,区分不开
xlm-roberta-large,8,f_PRT,N/A,0.6357,0.6475,0.4136,0.8142,-0.0543,-0.1982,0.11,区分不开
xlm-roberta-large,9,f_SUS,10,0.6658,0.6772,0.4133,0.8661,-0.1087,-0.3348,0.0897,区分不开
xlm-roberta-large,9,f_OT,N/A,0.6754,0.6772,0.4133,0.8661,-0.1016,-0.3373,0.1084,区分不开
xlm-roberta-large,9,f_APD,N/A,0.6363,0.6468,0.3792,0.8295,-0.0869,-0.3324,0.1295,区分不开
xlm-roberta-large,9,f_PRT,N/A,0.6517,0.6676,0.4409,0.8319,-0.0342,-0.1628,0.1202,区分不开
xlm-roberta-large,10,f_SUS,200,0.6764,0.6909,0.4152,0.8878,-0.095,-0.3309,0.1104,区分不开
xlm-roberta-large,10,f_OT,N/A,0.696,0.6838,0.4069,0.8807,-0.095,-0.3176,0.1017,区分不开
xlm-roberta-large,10,f_APD,N/A,0.6563,0.6672,0.3864,0.8504,-0.0664,-0.3055,0.151,区分不开
xlm-roberta-large,10,f_PRT,N/A,0.6641,0.6778,0.446,0.8414,-0.024,-0.1533,0.1363,区分不开
xlm-roberta-large,11,f_SUS,200,0.7065,0.7051,0.4381,0.8824,-0.0808,-0.2785,0.0861,区分不开
xlm-roberta-large,11,f_OT,N/A,0.6991,0.6834,0.4086,0.8773,-0.0954,-0.3073,0.0796,区分不开
xlm-roberta-large,11,f_APD,N/A,0.6681,0.6709,0.4,0.8511,-0.0628,-0.2656,0.1261,区分不开
xlm-roberta-large,11,f_PRT,N/A,0.665,0.6761,0.4504,0.8364,-0.0257,-0.147,0.1063,区分不开
xlm-roberta-large,12,f_SUS,200,0.7328,0.7525,0.5187,0.9015,-0.0334,-0.198,0.1,区分不开
xlm-roberta-large,12,f_OT,N/A,0.7678,0.7593,0.5534,0.9007,-0.0195,-0.1436,0.0939,区分不开
xlm-roberta-large,12,f_APD,N/A,0.6583,0.6672,0.4038,0.8409,-0.0664,-0.2659,0.1408,区分不开
xlm-roberta-large,12,f_PRT,N/A,0.5537,0.586,0.3075,0.7763,-0.1158,-0.3149,0.0521,区分不开
xlm-roberta-large,13,f_SUS,500,0.7497,0.778,0.5883,0.8941,-0.0079,-0.1448,0.1435,区分不开
xlm-roberta-large,13,f_OT,N/A,0.7515,0.7679,0.5709,0.8866,-0.0109,-0.1135,0.0959,区分不开
xlm-roberta-large,13,f_APD,N/A,0.544,0.5791,0.3045,0.7795,-0.1545,-0.4037,0.0718,区分不开
xlm-roberta-large,13,f_PRT,N/A,0.5474,0.5726,0.2906,0.7786,-0.1292,-0.3396,0.0552,区分不开
xlm-roberta-large,14,f_SUS,200,0.7011,0.7445,0.5341,0.8809,-0.0414,-0.1841,0.0803,区分不开
xlm-roberta-large,14,f_OT,N/A,0.719,0.7397,0.532,0.8754,-0.039,-0.1604,0.0689,区分不开
xlm-roberta-large,14,f_APD,N/A,0.5143,0.5579,0.2719,0.7607,-0.1758,-0.4133,0.0503,区分不开
